date	edited_by	job	researched_by	source	state	statement	subjects	truth
2013-07-23	Angie Drobnic Holan		Katie Sanders	Instagram posts		"Dozens of artists, including Justin Timberlake, Jay Z and Rihanna, are canceling Florida shows like Stevie Wonder in protest of  ""stand your ground."""	['Crime']	1
2013-07-23	Angie Drobnic Holan	Republican	Amy Sherman	Rick Scott	Florida	"""The FL Guard has defended our freedom in Afghanistan, Iraq, and put their lives at risk; now the fed govt is going to cut their pay 20%."""	['Afghanistan', 'Federal Budget', 'Iraq', 'Military']	3
2013-07-23	John Bridges	Republican	Sue Owen	Roger Williams	Texas	Says Obama policies contributed to gas prices rising from $1.89 in January 2009 to $3.51 today.	['Economy', 'Energy', 'Gas Prices']	2
2013-07-23	Angie Drobnic Holan	Republican	Louis Jacobson	Michele Bachmann	Minnesota	"""The president … by executive order"" could grant voting rights to illegal immigrants who are newly legalized under pending legislation."	['Elections', 'Immigration', 'Legal Issues']	0
2013-07-23	Elizabeth Miniet, Jim Tharpe		Eric Stirgus	Chain email		"A ""hidden"" provision in the health care law taxes sporting goods as medical devices."	['Health Care']	0
2013-07-22	Angie Drobnic Holan	Republican	Jon Greenberg	Mitch McConnell	Kentucky	"""The president has had 1,540 of his nominations confirmed, only four defeated."""	['Legal Issues']	3
2013-07-22	Angie Drobnic Holan	Republican	Jeffrey S.  Solochek	Will Weatherford	Florida	"New school testing standards ""will consume approximately twenty days of testing for elementary, middle and high school students."""	['Education']	4
2013-07-22	Warren Fiske	Democrat	Sean Gorman	Democratic Party of Virginia	Virginia	"""In his book, (Ken) Cuccinelli questions whether Medicare and Social Security should exist."""	['Medicare', 'Social Security']	2
2013-07-22	Tim Murphy	Democrat	C. Eugene Emery Jr.	Al Gore	Tennessee	"The ocean is now ""much more acidic . . . than it has been for many millions of years."""	['Animals', 'Climate Change', 'Economy', 'Energy', 'Environment', 'History', 'Population', 'Public Health', 'Science', 'Weather']	3
2013-07-22	Elizabeth Miniet, Jim Tharpe		Eric Stirgus	Pink Pony		"The city of Brookhaven’s ordinance could cause the Pink Pony to close, thereby ""putting 300 Pink Pony employees out of work in this economy."""	['Legal Issues']	3
2013-07-21	Greg Borowski	Republican	Tom Kertscher	Scott Walker	Wisconsin	"""We’re importing about 10 percent of our milk supply. We’re America’s Dairyland, but yet we don’t have enough milk in this state to meet the demand for our cheesemakers."""	['Agriculture', 'Economy', 'States']	4
2013-07-21	Tim Murphy	Democrat	C. Eugene Emery Jr.	Sheldon Whitehouse	Rhode Island	"The oceans ""have become 30 percent more acidic."""	['Animals', 'Climate Change', 'Economy', 'Energy', 'Environment', 'History', 'Public Health', 'Science', 'Weather']	4
2013-07-20	Daniel Finnegan	Democrat	Warren Fiske	Terry McAuliffe	Virginia	"Says an investigative report concluded Ken Cuccinelli ""should have been prosecuted"" for disclosure violations, but Virginia's law was too weak."	['Ethics']	0
2013-07-20	Bruce  Hammond	None	Janie Har	Portland Bureau of Transportation (PBOT)	Oregon	"Portland Bureau of Transportation ""barely break(s) even"" ticketing motorists."	['City Government', 'Transportation']	3
2013-07-19	Aaron Sharockman	Republican	Julie Kliegman, Katie Sanders	Bill Foster	Florida	"""Since I was elected, crime rates have been at their lowest in over a decade."""	['Crime']	4
2013-07-19	John Bridges		W. Gardner Selby	Facebook posts		"""Texas ranks: #1 in worker deaths, #1 carbon emissions, #50 in high school graduates, #50 in funding for mental health patients."""	['Climate Change', 'Education', 'Energy', 'Environment', 'Health Care', 'States', 'Workers']	3
2013-07-19	Angie Drobnic Holan	Republican	Becky Bowers	Tom Cole	Oklahoma	"Food stamp spending ""doubled under President Bush, doubled again under President Obama."""	['Children', 'Deficit', 'Families', 'Federal Budget', 'Hunger', 'Poverty', 'Welfare']	5
2013-07-19	Elizabeth Miniet, Jim Tharpe	Democrat	Janel Davis	Nikema  Williams	Georgia	"""Georgia is nearly 50 percent Democratic and (the Republican majority) diminished our voting strength to 32 percent through gerrymandered maps."""	['Redistricting']	3
2013-07-18	Angie Drobnic Holan	Republican	Jon Greenberg	Mitch McConnell	Kentucky	"Says Barack Obama is getting his nominees confirmed ""faster than President (George W.) Bush was at the same time in his second term."""	['Congressional Rules']	1
2013-07-18	John Bridges	Democrat	Sue Owen	Robert Reich	California	"Says in Texas ""it's legal to shoot someone who's committing a ‘public nuisance’ under the cover of dark."""	['Guns', 'Legal Issues']	1
2013-07-18	Tim Murphy	Democrat	Gregory Smith	Lincoln Chafee	Rhode Island	"Farming is ""one of the fastest growing areas of our economy."""	['Agriculture', 'Economy']	2
2013-07-17	Angie Drobnic Holan		Amy Sherman	Tweets		"""In the 513 days between Trayvon dying, and today’s verdict, 11,106 African-Americans have been murdered by other African-Americans."""	['Crime']	2
2013-07-17	Angie Drobnic Holan	Republican	Becky Bowers	John Boehner	Ohio	"""This is the same (farm) bill we voted on a few weeks ago, with the exception of one or two sentences."""	['Agriculture', 'Federal Budget']	2
2013-07-17	John Bridges	Democrat	W. Gardner Selby	Elliott Naishtat	Texas	"Says Austin is the ""largest city in America without a congressional district anchored in it."""	['Redistricting']	5
2013-07-16	Aaron Sharockman	Democrat	Katie Sanders	Kathleen Ford	Florida	"""Private prison systems are calculating how many new beds (they will need) based on the ... number of third graders."""	['Crime', 'Education']	0
2013-07-16	Angie Drobnic Holan, Aaron Sharockman		Jon Greenberg	Americans for Prosperity		Says health insurance premiums will rise under Obamacare.	['Health Care']	3
2013-07-16	Jim  Denery, Jim Tharpe		Eric Stirgus	David Sutton		"Says ""excise taxes are...disproportionately burdening middle- and lower-income consumers."""	['Taxes']	4
2013-07-15	Warren Fiske	Democrat	Sean Gorman	Terry McAuliffe	Virginia	"""Women still earn about 77 cents for every dollar a man earns for working the same job."""	['Jobs', 'Women', 'Workers']	2
2013-07-15	Jim  Denery, Lois Norder	Republican	Eric Stirgus	Karl Rove	Texas	The Hispanic population in Gwinnett and Henry counties has increased by 153 percent and 339 percent, respectively, since 2000 while Republican presidential candidates are getting a smaller percentage of the vote in those counties.	['Elections']	4
2013-07-14	Tom Curran	Democrat	Caryn Shinske	Barbara Buono	New Jersey	"""Guess what, governor? There’s no fried butter in Newark. Just 13 percent unemployment."""	['Jobs']	5
2013-07-14	Tim Murphy	Republican	C. Eugene Emery Jr.	Patricia Morgan	Rhode Island	In Rhode Island, 9 percent of workers use the state's temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.	['Disability', 'Labor', 'States', 'Workers']	2
2013-07-13	Bruce  Hammond	Republican	Janie Har	Jeff Kruse	Oregon	"Says that in Curry County, ""if you make a 911 call you’re likely to wait for an hour for a response."""	['County Budget', 'County Government', 'Public Safety', 'State Budget', 'Taxes']	3
2013-07-12	Aaron Sharockman		Katie Sanders	Judicial Watch		"""A little-known unit of the Department of Justice, the Community Relations Service, was deployed to Sanford, FL, following the Trayvon Martin shooting to help organize and manage rallies and protests against George Zimmerman."""	['Criminal Justice']	2
2013-07-12	W. Gardner Selby	Democrat	Sue Owen	Gilberto Hinojosa	Texas	"Says if Texas abortion measure passes, ""someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening."""	['Abortion', 'Health Care']	0
2013-07-12	Aaron Sharockman	Democrat	Becky Bowers	Robert Menendez	New Jersey	Says Obama administration delay of health care law's employer mandate affects about 1 percent of the American workforce.	['Health Care']	4
2013-07-12	Warren Fiske	Republican	Nancy  Madsen	Dave Schwartz	Virginia	"""Twenty-four percent of doctors in Virginia currently don’t accept new Medicaid patients because the reimbursement rates are so low."""	['Health Care', 'Medicaid']	4
2013-07-12	Jim  Denery, Lois Norder		Janel Davis	Larry Elder		Paula Deen supported and campaigned for Barack Obama.	['Pop Culture']	1
2013-07-12	Greg Borowski		Tom Kertscher	Rachel Campos-Duffy		"""Upwards of 90 percent"" of women seeking an abortion decide not to have an abortion after seeing an ultrasound."	['Abortion', 'Children', 'Families', 'Health Care', 'Women']	1
2013-07-12	Aaron Sharockman	None	Amy Sherman	Miami-Dade County	Florida	"Miami-Dade has ""the nation’s highest-rated tap water."""	['County Budget', 'Environment', 'Water']	1
2013-07-12	Jane Kahoun	Democrat	Brandon Blackwell	Ohio Democratic Party	Ohio	"Says proposed anti-abortion legislation ""would force women facing the most personal of health decisions to endure a transvaginal ultrasound."""	['Abortion', 'Health Care']	3
2013-07-11	Aaron Sharockman	Republican	Louis Jacobson	Rand Paul	Kentucky	"""There was a Gallup poll in Egypt last year, and 70 percent of Egyptians don't want our money."""	['Foreign Policy', 'Polls and Public Opinion']	5
2013-07-11	John Bridges	Republican	W. Gardner Selby	Rick Perry	Texas	Says a growing number of extremely premature babies survive into healthy childhood.	['Abortion', 'Children', 'Women']	4
2013-07-10	W. Gardner Selby	Republican	Sue Owen	Jonathan Stickland	Texas	Says Texas has more than 80,000 abortions each year.	['Abortion']	2
2013-07-10	Angie Drobnic Holan	Republican	Louis Jacobson	Allen West	Florida	"""More Americans receive food aid than work in (the) private sector."""	['Jobs', 'Poverty', 'Pundits', 'Workers']	1
2013-07-10	Angie Drobnic Holan	Republican	Jon Greenberg	Jeb Bush	Florida	"Says ""Canada has one-tenth of our population—yet it issues far more high-skilled visas (more than 150,000) yearly than we do (65,000)."""	['Corrections and Updates', 'Immigration']	3
2013-07-10	Warren Fiske	Republican	Warren Fiske, Nancy  Madsen	Ken Cuccinelli	Virginia	"""I’m the only candidate for governor who’s rolled out any policies so far."""	['Elections']	1
2013-07-10	Jane Kahoun	Republican	Stephen Koff	Bill Johnson	Ohio	"Most Americans want ""traditional marriage,"" as defined by the Defense of Marriage Act."	['Families', 'Gays and Lesbians']	2
2013-07-10	Tim Murphy	Democrat	C. Eugene Emery Jr.	Charlene Lima	Rhode Island	"Economic Development Commission Executive Director Keith Stokes ""sent me a letter and he said the taxpayers will never be on the hook for these bonds"" for 38 Studios."	['Bankruptcy', 'Corporations', 'Debt', 'Economy', 'History', 'Jobs', 'State Budget', 'State Finances', 'Taxes']	5
2013-07-10	Jim  Denery, Lois Norder		Eric Stirgus	Americans for Prosperity Georgia chapter		Electricity rates are 40 percent higher in states that have required utility companies to use a certain amount of renewable energy such as solar power.	['Energy']	3
2013-07-09	Jane Kahoun		Henry J.  Gomez	Rachel Maddow		"Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a  ""mandatory vaginal probe."""	['Abortion', 'Pundits', 'Women']	0
2013-07-09	Aaron Sharockman		Katie Sanders	Chain email		"Obamacare ""will provide insurance to all non-U.S. residents, even if they are here illegally."""	['Health Care', 'Immigration']	0
2013-07-09	Angie Drobnic Holan	None	Louis Jacobson	Dan Stein	Washington, D.C.	"The Senate immigration bill ""unleashes a massive increase in overall immigration. … We're talking about a population increase under the Senate bill of over 70 million people in 20 years."""	['Immigration']	1
2013-07-09	Jane Kahoun	Republican	Tom Feran	Phil Burress	Ohio	"""Every major religion is opposed to same-sex marriage."""	['Gays and Lesbians', 'Religion']	3
2013-07-09	Jim  Denery, Jim Tharpe	Democrat	Janel Davis	Jimmy Carter	Georgia	Women in the United States are paid about 70 percent of what men earn for the same work.	['Jobs', 'Women']	2
2013-07-08	Angie Drobnic Holan		Amy Sherman	Tony Perkins		"""We're already seeing bakers and florists and photographers forced to participate in same-sex marriages under the threat of law and in some cases even jail."""	['Gays and Lesbians']	3
2013-07-08	Angie Drobnic Holan	Democrat	Jon Greenberg	Luis Gutierrez	Illinois	"Says under the Senate immigration bill, newly legalized immigrants will ""pay every tax possible, but you don’t get a single benefit"" for 10 years."	['Immigration', 'Welfare']	4
2013-07-08	Angie Drobnic Holan	Democrat	Becky Bowers, Caroline Houck	Gabrielle Giffords	Arizona	"""In New Hampshire, 93 percent of Democrats, 79 percent of Republicans, 82 percent of gun owners and 60 percent of NRA households support background checks."""	['Civil Rights', 'Crime', 'Guns']	4
2013-07-08	Warren Fiske	Democrat	Sean Gorman	Paul Begala	Texas	"Says Ken Cuccinelli ""attacked churches for helping the poor."""	['Religion']	1
2013-07-08	Elizabeth Miniet, Jim Tharpe		Eric Stirgus	Lynn Westmoreland		"""It is against the law for the NSA to record or monitor Americans’ phone calls without getting a specific FISA warrant to do so."""	['Privacy', 'Terrorism']	5
2013-07-07	Tom Curran	Democrat	Caryn Shinske	Barbara Buono	New Jersey	Says spending in the fiscal 2009 budget was lower than spending in the fiscal 2014 budget	['State Budget', 'State Finances']	5
2013-07-07	Greg Borowski	Republican	Dave Umhoefer	Jim Sensenbrenner	Wisconsin	"""Currently, it takes up to 25 years to obtain U.S. citizenship legally"" but the Senate bill ""would allow immigrants who came to the United States illegally to obtain citizenship in just 13 years."""	['Immigration']	3
2013-07-07	Susan Areson, Tim Murphy	Democrat	C. Eugene Emery Jr.	Joseph McNamara	Rhode Island	"Rhode Island's graduated driving license ""has saved hundreds of lives."""	['Children', 'Crime', 'Public Safety', 'Regulation']	1
